Time (s),Volume (m^3),Ar,He,Ne,N2,H2(1),O2(2),H(3),[O]O(4)
1.6383e-11,0.08314472000000002,0.0,0.0,0.0,0.0,0.6699999999999948,0.32999999999999474,5.269865745881478e-15,5.30190244430661e-15
3.2767e-11,0.08314471999999999,0.0,0.0,0.0,0.0,0.6699999999999895,0.3299999999999894,1.0508350233030944e-14,1.0636173866440177e-14
6.5535e-11,0.08314471999999998,0.0,0.0,0.0,0.0,0.669999999999979,0.32999999999997864,2.0890680949853132e-14,2.1399354968183026e-14
9.8303e-11,0.08314471999999996,0.0,0.0,0.0,0.0,0.6699999999999684,0.32999999999996776,3.117922827799675e-14,3.2256319458603416e-14
9.999999999999999e-11,0.08314471999999995,0.0,0.0,0.0,0.0,0.6699999999999678,0.3299999999999672,3.170724195027813e-14,3.2823396532052665e-14
1.31071e-10,0.08314471999999995,0.0,0.0,0.0,0.0,0.6699999999999579,0.32999999999995683,4.13748393642173e-14,4.320622019094584e-14
1.96607e-10,0.08314471999999985,0.0,0.0,0.0,0.0,0.6699999999999368,0.3299999999999347,6.155054382259838e-14,6.532153936968824e-14
2.62143e-10,0.08314471999999976,0.0,0.0,0.0,0.0,0.6699999999999157,0.3299999999999123,8.139141552122838e-14,8.777169130817785e-14
3.2767900000000004e-10,0.08314471999999963,0.0,0.0,0.0,0.0,0.6699999999998946,0.32999999999988955,1.0087903071173041e-13,1.1057509975479129e-13
4.5875100000000005e-10,0.08314471999999926,0.0,0.0,0.0,0.0,0.6699999999998523,0.3299999999998428,1.3880845386886817e-13,1.572277238718713e-13
7.208950000000001e-10,0.08314471999999822,0.0,0.0,0.0,0.0,0.6699999999997677,0.3299999999997456,2.1070418292545013e-13,2.544960893636712e-13
9.415356534133284e-10,0.083144719999997,0.0,0.0,0.0,0.0,0.6699999999996965,0.3299999999996598,2.6728070602343405e-13,3.4030114415880744e-13
9.999999999999999e-10,0.08314471999999548,0.0,0.0,0.0,0.0,0.6699999999996776,0.32999999999963653,2.8171012755562346e-13,3.6359933895081664e-13
1.1621763068266567e-09,0.08314471999999548,0.0,0.0,0.0,0.0,0.6699999999996253,0.32999999999957064,3.2050408600894054e-13,4.294593420663671e-13
1.382816960239985e-09,0.08314471999999375,0.0,0.0,0.0,0.0,0.6699999999995542,0.3299999999994783,3.7055699224284716e-13,5.217880137254713e-13
1.6034576136533133e-09,0.08314471999999172,0.0,0.0,0.0,0.0,0.669999999999483,0.329999999999383,4.1762744357151766e-13,6.170991402897544e-13
2.0447389204799698e-09,0.08314471999998704,0.0,0.0,0.0,0.0,0.6699999999993407,0.3299999999991841,5.034267019734301e-13,8.160630376735733e-13
2.4418920966239607e-09,0.0831447199999821,0.0,0.0,0.0,0.0,0.6699999999992126,0.32999999999899643,5.720753073429286e-13,1.003701272511024e-12
2.8390452727679517e-09,0.08314471999997657,0.0,0.0,0.0,0.0,0.6699999999990844,0.32999999999880164,6.335398198355689e-13,1.1985236002251277e-12
3.2361984489119427e-09,0.08314471999997049,0.0,0.0,0.0,0.0,0.6699999999989563,0.32999999999860036,6.885885320248869e-13,1.399761728242341e-12
3.6333516250559337e-09,0.08314471999996395,0.0,0.0,0.0,0.0,0.6699999999988282,0.32999999999839336,7.378864415009229e-13,1.606750658972619e-12
4.030504801199925e-09,0.08314471999995696,0.0,0.0,0.0,0.0,0.6699999999987001,0.3299999999981812,7.820275889137561e-13,1.818896351765876e-12
4.427657977343915e-09,0.08314471999994957,0.0,0.0,0.0,0.0,0.669999999998572,0.3299999999979644,8.215505284287886e-13,2.035660252456707e-12
5.221964329631897e-09,0.08314471999993384,0.0,0.0,0.0,0.0,0.6699999999983157,0.3299999999975189,8.88631485434246e-13,2.4811529758622783e-12
6.016270681919879e-09,0.08314471999991702,0.0,0.0,0.0,0.0,0.6699999999980595,0.3299999999970602,9.424263562395772e-13,2.9399317854670237e-12
6.810577034207861e-09,0.08314471999989928,0.0,0.0,0.0,0.0,0.6699999999978032,0.32999999999659074,9.85564517078037e-13,3.4093673050376694e-12
7.604883386495843e-09,0.08314471999988085,0.0,0.0,0.0,0.0,0.669999999997547,0.3299999999961126,1.0201493215202108e-12,3.887356181003614e-12
8.399189738783824e-09,0.08314471999986187,0.0,0.0,0.0,0.0,0.6699999999972908,0.32999999999562785,1.0478720213805174e-12,4.372207161550427e-12
9.193496091071806e-09,0.0831447199998424,0.0,0.0,0.0,0.0,0.6699999999970345,0.32999999999513746,1.0700937810313106e-12,4.8625590823057445e-12
9.987802443359787e-09,0.08314471999982259,0.0,0.0,0.0,0.0,0.6699999999967783,0.3299999999946428,1.0879024652877152e-12,5.357324078454437e-12
9.999999999999999e-09,0.08314471999980247,0.0,0.0,0.0,0.0,0.6699999999967744,0.3299999999946351,1.088146349097247e-12,5.364951397589472e-12
1.0782108795647768e-08,0.08314471999980247,0.0,0.0,0.0,0.0,0.669999999996522,0.3299999999941444,1.1021742858481357e-12,5.855625938298096e-12
1.2370721500223732e-08,0.08314471999976157,0.0,0.0,0.0,0.0,0.6699999999960095,0.3299999999931399,1.1227515419581159e-12,6.860196042993206e-12
1.372338738750674e-08,0.08314471999972624,0.0,0.0,0.0,0.0,0.669999999995573,0.3299999999922786,1.1343511772645016e-12,7.72148497291094e-12
1.5076053274789746e-08,0.08314471999969064,0.0,0.0,0.0,0.0,0.6699999999951366,0.3299999999914136,1.142319509184188e-12,8.586405206212387e-12
1.6428719162072754e-08,0.08314471999965477,0.0,0.0,0.0,0.0,0.6699999999947002,0.32999999999054624,1.1478102455501115e-12,9.45380303506462e-12
1.7781385049355762e-08,0.08314471999961881,0.0,0.0,0.0,0.0,0.6699999999942637,0.32999999998967705,1.1515909309359009e-12,1.0322910914894005e-11
1.913405093663877e-08,0.08314471999958274,0.0,0.0,0.0,0.0,0.6699999999938273,0.32999999998880686,1.1541889714549208e-12,1.1193201439587176e-11
2.100270779327844e-08,0.08314471999953281,0.0,0.0,0.0,0.0,0.6699999999932243,0.3299999999876033,1.1565248419463225e-12,1.2396728168126649e-11
2.2871364649918107e-08,0.08314471999948277,0.0,0.0,0.0,0.0,0.6699999999926214,0.32999999998639884,1.1579354739910943e-12,1.3601180135107064e-11
2.4740021506557776e-08,0.08314471999943271,0.0,0.0,0.0,0.0,0.6699999999920184,0.3299999999851938,1.158783338148005e-12,1.4806194869969653e-11
2.6608678363197444e-08,0.08314471999938264,0.0,0.0,0.0,0.0,0.6699999999914155,0.32999999998398843,1.159276532363307e-12,1.6011564274768164e-11
2.8477335219837113e-08,0.08314471999933253,0.0,0.0,0.0,0.0,0.6699999999908125,0.3299999999827829,1.1595562738353905e-12,1.7217147132304218e-11
3.034599207647678e-08,0.08314471999928238,0.0,0.0,0.0,0.0,0.6699999999902095,0.32999999998157714,1.1597123006260556e-12,1.8422853704515998e-11
