Time (s),Volume (m^3),Ar,He,Ne,N2,H2(1),O2(2),H(3),[O]O(4),OO(7),OH(D)(5),H2O(10),O2(S)(11),O(T)(6)
0.24178770135058314,0.08305658100241402,0.0,0.0,0.0,0.0,0.6679180351570067,0.32889280251171865,2.0440236622777653e-10,8.073148664801159e-05,5.870054032238566e-07,5.4410898898038406e-06,0.002038291447121733,3.981643108586901e-06,6.216923023095816e-08
0.24250254819281628,0.08305615345793609,0.0,0.0,0.0,0.0,0.6679077561409106,0.32888765356577637,2.0444196822314615e-10,8.074340035464817e-05,5.872337280125922e-07,5.44275509611476e-06,0.00204856344541671,3.981602769013359e-06,6.219422989498316e-08
0.2432173950350494,0.0830557257958906,0.0,0.0,0.0,0.0,0.6678974741890351,0.3288825033389044,2.0448083960107084e-10,8.075507894124745e-05,5.87457779794359e-07,5.4443894556878825e-06,0.0020588385167479,3.981561923513765e-06,6.221869721828139e-08
0.24393224187728255,0.08305529801843944,0.0,0.0,0.0,0.0,0.667887189357937,0.3288773518558365,2.0451899415101132e-10,8.076652686680685e-05,5.876776357890135e-07,5.445993547096289e-06,0.0020691166019623525,3.981520584847505e-06,6.224264151629728e-08
0.24464708871951568,0.08305487012782474,0.0,0.0,0.0,0.0,0.66787690170308,0.3288721991408404,2.0455644535077736e-10,8.0777748507471e-05,5.878933744429798e-07,5.447567931473922e-06,0.002079397643049603,3.981478749815477e-06,6.226607350616056e-08
0.24536193556174882,0.0830544421262367,0.0,0.0,0.0,0.0,0.6678666112788917,0.3288670452177074,2.0459320649752124e-10,8.078874815760634e-05,5.881050703475885e-07,5.4491131680377e-06,0.002089681583080374,3.981436439214815e-06,6.22890014552777e-08
0.24607678240398195,0.08305401401582027,0.0,0.0,0.0,0.0,0.6678563181387921,0.32886189010981387,2.0462929058982182e-10,8.079953003458756e-05,5.883127997649469e-07,5.4506297984474975e-06,0.002099968366178698,3.981393644520219e-06,6.231143616256047e-08
0.2467916292462151,0.08305358579867518,0.0,0.0,0.0,0.0,0.6678460223352053,0.32885673384005865,2.0466471046191785e-10,8.08100982772e-05,5.885166344248855e-07,5.452118363930409e-06,0.0021102579375090655,3.981350400193085e-06,6.233338481575477e-08
0.24750647608844822,0.08305315747682496,0.0,0.0,0.0,0.0,0.6678357239195133,0.32885157643092383,2.04699478626734e-10,8.082045694753048e-05,5.887166474472536e-07,5.453579385423131e-06,0.002120550243324741,3.981306696509339e-06,6.235485793726841e-08
0.24822132293068136,0.0830527290524009,0.0,0.0,0.0,0.0,0.6678254229422645,0.3288464179045099,2.0473360745845635e-10,8.083061003713249e-05,5.889129099062054e-07,5.4550133839208225e-06,0.0021308452307499206,3.98126254361142e-06,6.237586391854816e-08
0.2489361697729145,0.08305230052729759,0.0,0.0,0.0,0.0,0.6678151194530016,0.3288412582824776,2.0476710906572543e-10,8.084056146366825e-05,5.891054913861424e-07,5.456420866630825e-06,0.0021411428479600355,3.981217947455383e-06,6.239641194322421e-08
0.24965101661514763,0.08305187190347695,0.0,0.0,0.0,0.0,0.6678048135003015,0.3288360975860518,2.047999953429623e-10,8.085031507015497e-05,5.892944595705356e-07,5.457802333261568e-06,0.0021514430441388665,3.981172927065501e-06,6.241650942907981e-08
0.25036586345738077,0.0830514431828585,0.0,0.0,0.0,0.0,0.6677945051318295,0.32883093583607703,2.0483227794209047e-10,8.085987462919758e-05,5.894798822867451e-07,5.4591582710942105e-06,0.0021617457694236364,3.981127480552107e-06,6.243616583508301e-08
0.2510807102996139,0.08305101436731888,0.0,0.0,0.0,0.0,0.6677841943943618,0.32882577305298527,2.0486396833838397e-10,8.086924384230492e-05,5.896618250396042e-07,5.460489163526619e-06,0.002172050974880004,3.981081631055184e-06,6.245538809044941e-08
