Time (s),Volume (m^3),Ar,He,Ne,N2,H2(1),O2(2),H(3),[O]O(4),OO(7),OH(D)(5),H2O(10)
8.191e-12,0.08314472000000002,0.0,0.0,0.0,0.0,0.6699999999999975,0.3299999999999974,2.6386858874767904e-15,2.6467043480696564e-15,8.397003137047647e-27,1.3373190534402559e-33,1.502119469949522e-41
1e-11,0.08314472000000002,0.0,0.0,0.0,0.0,0.6699999999999969,0.3299999999999968,3.21971669361873e-15,3.233038986257152e-15,1.397047589242841e-26,3.4077631747517606e-33,6.484858517496674e-41
1.6383e-11,0.08314472000000002,0.0,0.0,0.0,0.0,0.6699999999999948,0.32999999999999474,5.2698657459150256e-15,5.301902444273062e-15,3.3636300435046083e-26,1.0713260591186988e-32,2.406629762224706e-40
3.2767e-11,0.08314471999999999,0.0,0.0,0.0,0.0,0.6699999999999895,0.3299999999999894,1.0508350233165145e-14,1.0636173866305975e-14,1.3490203090103866e-25,8.591971958117406e-32,3.8599306119932624e-39
6.5535e-11,0.08314471999999998,0.0,0.0,0.0,0.0,0.669999999999979,0.32999999999997864,2.089068095038992e-14,2.139935496764623e-14,5.42386273779011e-25,6.906689412421735e-31,6.20471727607332e-38
9.8303e-11,0.08314471999999996,0.0,0.0,0.0,0.0,0.6699999999999684,0.32999999999996776,3.117922827913734e-14,3.225631945746279e-14,1.1566120198850357e-24,1.9802668337700287e-30,2.2888002052169254e-37
9.999999999999999e-11,0.08314471999999995,0.0,0.0,0.0,0.0,0.6699999999999678,0.3299999999999672,3.17072419514604e-14,3.282339653087036e-14,1.1992203420785645e-24,2.0945603279505947e-30,2.471489747148878e-37
1.31071e-10,0.08314471999999995,0.0,0.0,0.0,0.0,0.6699999999999579,0.32999999999995683,4.137483936616284e-14,4.3206220189000217e-14,1.9793518558529506e-24,4.18720214155365e-30,5.8164200696991e-37
1.96607e-10,0.08314471999999985,0.0,0.0,0.0,0.0,0.6699999999999368,0.3299999999999347,6.155054382662567e-14,6.532153936566071e-14,4.119639914281563e-24,1.1482860294222596e-29,2.04079494680814e-36
2.62143e-10,0.08314471999999976,0.0,0.0,0.0,0.0,0.6699999999999157,0.3299999999999123,8.139141552807638e-14,8.777169130132933e-14,7.041208007820453e-24,2.411146344393178e-29,5.1132801984510164e-36
3.2767900000000004e-10,0.08314471999999963,0.0,0.0,0.0,0.0,0.6699999999998946,0.32999999999988955,1.0087903072219001e-13,1.1057509974433062e-13,1.0811356248004024e-23,4.4051344030285915e-29,1.0878123202052268e-35
4.5875100000000005e-10,0.08314471999999926,0.0,0.0,0.0,0.0,0.6699999999998523,0.3299999999998428,1.3880845388896618e-13,1.5722772385177034e-13,2.1026347302387374e-23,1.1742463811614112e-28,4.02045707804419e-35
7.208950000000001e-10,0.08314471999999822,0.0,0.0,0.0,0.0,0.6699999999997677,0.3299999999997456,2.1070418297436395e-13,2.5449608931474575e-13,5.249676762341921e-23,4.636288299946157e-28,2.6016399339055866e-34
9.535618418358206e-10,0.08314471999999692,0.0,0.0,0.0,0.0,0.6699999999996926,0.329999999999655,2.7027176363219097e-13,3.450707039029215e-13,9.315995244634104e-23,1.0618966832962643e-27,7.51526496543823e-34
9.999999999999999e-10,0.0831447199999953,0.0,0.0,0.0,0.0,0.6699999999996776,0.3299999999996365,2.8171540404916e-13,3.635940624572498e-13,1.0277628113763619e-22,1.2267673347549019e-27,9.095906863501598e-34
1.186228683671641e-09,0.0831447199999953,0.0,0.0,0.0,0.0,0.6699999999996176,0.3299999999995607,3.261179644283453e-13,4.3936669835270095e-13,1.4635580838390252e-22,2.0399199385292687e-27,1.7440245716679424e-33
1.4188955255074614e-09,0.08314471999999341,0.0,0.0,0.0,0.0,0.6699999999995425,0.3299999999994629,3.7846245775797397e-13,5.371644002689335e-13,2.125425856232101e-22,3.4932257969433646e-27,3.484218888470293e-33
1.6515623673432818e-09,0.08314471999999125,0.0,0.0,0.0,0.0,0.6699999999994675,0.3299999999993618,4.2752272781289774e-13,6.382463254597948e-13,2.9217486461196533e-22,5.525718174510346e-27,6.288323825737796e-33
2.116896051014923e-09,0.0831447199999862,0.0,0.0,0.0,0.0,0.6699999999993174,0.3299999999991506,5.165014160077413e-13,8.495520277562805e-13,4.93263324914892e-22,1.171703532574307e-26,1.6538643296850514e-32
2.5356963663193995e-09,0.08314471999998084,0.0,0.0,0.0,0.0,0.6699999999991822,0.32999999999895097,5.872372573601578e-13,1.0490721378457667e-12,7.241750831388043e-22,2.034792076311394e-26,3.3690131932013564e-32
2.9544966816238765e-09,0.08314471999997484,0.0,0.0,0.0,0.0,0.6699999999990471,0.3299999999987437,6.501940081827114e-13,1.2563713384648193e-12,1.0046388092855476e-21,3.260713568673903e-26,6.191842924536773e-32
3.3732969969283535e-09,0.08314471999996828,0.0,0.0,0.0,0.0,0.669999999998912,0.3299999999985295,7.062469336344425e-13,1.4705743644543822e-12,1.3364866631244226e-21,4.9224025984783953e-26,1.0553772010798532e-31
3.7920973122328305e-09,0.08314471999996118,0.0,0.0,0.0,0.0,0.6699999999987769,0.32999999999830915,7.56145093676994e-13,1.6909321558527992e-12,1.721286592928525e-21,7.094621928090254e-26,1.6970099225753329e-31
4.2108976275373075e-09,0.08314471999995363,0.0,0.0,0.0,0.0,0.6699999999986418,0.32999999999808316,8.00553678920335e-13,1.91677952205009e-12,2.1604307794689775e-21,9.853843986807865e-26,2.603521968711376e-31
4.6296979428417845e-09,0.08314471999994569,0.0,0.0,0.0,0.0,0.6699999999985067,0.3299999999978524,8.400731502517962e-13,2.1475160021589134e-12,2.6551757329100825e-21,1.327834655926138e-25,3.842484526102973e-31
5.0484982581462616e-09,0.08314471999993737,0.0,0.0,0.0,0.0,0.6699999999983716,0.32999999999761737,8.752436793231057e-13,2.3826014245275324e-12,3.2066516855066652e-21,1.7448149633781883e-25,5.489721624057074e-31
5.886098888755215e-09,0.08314471999991983,0.0,0.0,0.0,0.0,0.6699999999981013,0.32999999999713603,9.34412958760983e-13,2.863944047968414e-12,4.483719434927551e-21,2.8350925139208407e-25,1.0356688314420209e-30
6.723699519364169e-09,0.08314471999990126,0.0,0.0,0.0,0.0,0.6699999999978311,0.3299999999966424,9.813002905824662e-13,3.3575686190241845e-12,5.998408636800658e-21,4.323019512019323e-25,1.7987798769397023e-30
7.561300149973123e-09,0.08314471999988188,0.0,0.0,0.0,0.0,0.6699999999975609,0.3299999999961391,1.018450558822706e-12,3.86093025365966e-12,7.756040552986936e-21,6.277141222049799e-25,2.93125020316619e-30
8.398900780582077e-09,0.08314471999986185,0.0,0.0,0.0,0.0,0.6699999999972907,0.329999999995628,1.0478759929120057e-12,4.372016722444511e-12,9.760820851465922e-21,8.767342964959529e-25,4.540972188228355e-30
9.236501411191031e-09,0.08314471999984131,0.0,0.0,0.0,0.0,0.6699999999970204,0.3299999999951107,1.071178007639911e-12,4.8892266105891734e-12,1.2016094946603538e-20,1.1864559617779399e-24,6.751021964342762e-30
9.999999999999999e-09,0.08314471999982039,0.0,0.0,0.0,0.0,0.6699999999967741,0.32999999999463503,1.088167554530574e-12,5.364930192136659e-12,1.429234173043968e-20,1.5277277111782905e-24,9.405331160631895e-30
1.0074102041799985e-08,0.08314471999982039,0.0,0.0,0.0,0.0,0.6699999999967502,0.3299999999945887,1.089631226566435e-12,5.411285294533622e-12,1.4524524123501575e-20,1.5640567953083651e-24,9.699844326823153e-30
1.0911702672408939e-08,0.08314471999979914,0.0,0.0,0.0,0.0,0.66999999999648,0.3299999999940628,1.1042413406278978e-12,5.937187083341531e-12,1.728820680785176e-20,2.0167835723523793e-24,1.3541398318571075e-29
1.1749303303017893e-08,0.08314471999977763,0.0,0.0,0.0,0.0,0.6699999999962097,0.3299999999935338,1.1158084597814362e-12,6.466131867055756e-12,2.0308811246192837e-20,2.551935480873681e-24,1.8445318423560853e-29
1.3424504564235801e-08,0.08314471999973407,0.0,0.0,0.0,0.0,0.6699999999956693,0.3299999999924692,1.1321894182872023e-12,7.53077471428069e-12,2.712573312697262e-20,3.898921644142528e-24,3.2197640288561953e-29
1.4882726946258971e-08,0.0831447199996957,0.0,0.0,0.0,0.0,0.6699999999951988,0.32999999999153734,1.141376976185901e-12,8.462592363040882e-12,3.390641036419831e-20,5.409805349010172e-24,4.954222584618584e-29
1.634094932828214e-08,0.08314471999965711,0.0,0.0,0.0,0.0,0.6699999999947283,0.3299999999906025,1.1475081134867212e-12,9.397466432394066e-12,4.1478620128118656e-20,7.276751520631766e-24,7.32065547330354e-29
1.7799171710305313e-08,0.0831447199996183,0.0,0.0,0.0,0.0,0.6699999999942577,0.32999999998966556,1.1516171329687434e-12,1.0334362619561171e-11,4.9844501606929496e-20,9.539084821383167e-24,1.0459928856344925e-28
1.9257394092328485e-08,0.08314471999957941,0.0,0.0,0.0,0.0,0.6699999999937872,0.3299999999887273,1.1543689531283818e-12,1.1272616006045784e-11,5.900542304314233e-20,1.223622382555007e-23,1.4527662339289322e-28
2.0715616474351657e-08,0.08314471999954044,0.0,0.0,0.0,0.0,0.6699999999933167,0.3299999999877882,1.1562060795996062e-12,1.2211784086213936e-11,6.896228848111065e-20,1.5407642630824467e-23,1.9694265432489534e-28
2.279396747243566e-08,0.08314471999948482,0.0,0.0,0.0,0.0,0.6699999999926461,0.32999999998644863,1.157852090029983e-12,1.3551318361122112e-11,8.453032270865682e-20,2.0825416374802296e-23,2.932584508629211e-28
2.487231847051966e-08,0.08314471999942914,0.0,0.0,0.0,0.0,0.6699999999919756,0.32999999998510826,1.1587967992726888e-12,1.4891553937208053e-11,1.0171754053974152e-19,2.7401354901917563e-23,4.215676159179747e-28
2.695066946860366e-08,0.08314471999937341,0.0,0.0,0.0,0.0,0.669999999991305,0.3299999999837676,1.159333672443916e-12,1.6232197349355567e-11,1.2052450224114683e-19,3.5249985139307345e-23,5.883647551515722e-28
2.9029020466687663e-08,0.08314471999931769,0.0,0.0,0.0,0.0,0.6699999999906344,0.32999999998242674,1.159603435598283e-12,1.7573107871510007e-11,1.4095145024428207e-19,4.448586835259825e-23,8.008375109462562e-28
3.110737146477166e-08,0.08314471999926196,0.0,0.0,0.0,0.0,0.6699999999899638,0.3299999999810857,1.1597358529331117e-12,1.8914155739474055e-11,1.6299860456368654e-19,5.522356504004412e-23,1.0667078435562089e-27
3.5264073460939664e-08,0.08314471999915046,0.0,0.0,0.0,0.0,0.6699999999886227,0.32999999997840346,1.1598028563160153e-12,2.1596449306659056e-11,2.1195377894273011e-19,8.166269220726433e-23,1.7933907252638355e-27
3.9005105257490864e-08,0.0831447199990501,0.0,0.0,0.0,0.0,0.6699999999874157,0.32999999997598933,1.1598651805914114e-12,2.4010511495860634e-11,2.6155496428942626e-19,1.1188749752922076e-22,2.7325689284447853e-27
4.6487168850593264e-08,0.08314471999884938,0.0,0.0,0.0,0.0,0.6699999999850015,0.32999999997116114,1.1599163434528092e-12,2.8838709359790765e-11,3.870030517240455e-19,2.104098283483842e-22,6.780151138522393e-27
5.3969232443695663e-08,0.08314471999864866,0.0,0.0,0.0,0.0,0.6699999999825873,0.3299999999663329,1.1599391060066886e-12,3.366693562389759e-11,5.33444813046687e-19,3.462118791268178e-22,1.344011115362194e-26
6.893335962990048e-08,0.08314471999824721,0.0,0.0,0.0,0.0,0.669999999977759,0.32999999995667645,1.1599626268814802e-12,4.3323410155816344e-11,9.102841334359379e-19,8.096757760376931e-22,4.459102552062307e-26
9.886161400231009e-08,0.08314471999744434,0.0,0.0,0.0,0.0,0.6699999999681026,0.32999999993736345,1.1600002302207064e-12,6.26363686559162e-11,1.9996335404063438e-18,2.8457885570646245e-21,2.6356488756462214e-25
9.999999999999998e-08,0.08314471999583857,0.0,0.0,0.0,0.0,0.6699999999677353,0.3299999999366288,1.1600016198659563e-12,6.337097891648486e-11,2.0665820437921635e-18,3.0595579680294112e-21,3.047917079965814e-25
1.5871812274712933e-07,0.08314471999583857,0.0,0.0,0.0,0.0,0.6699999999487896,0.3299999998987375,1.160073297979126e-12,1.012622877861516e-10,5.519796021759641e-18,1.4085816669457476e-20,2.4312773706014306e-24
2.784311402367678e-07,0.08314471999262701,0.0,0.0,0.0,0.0,0.6699999999101636,0.32999999982148565,1.1602191840711902e-12,1.7851412625817894e-10,1.7916239742285495e-17,8.703921514502884e-20,2.9220777654181333e-23
5.178571752160447e-07,0.08314471998620396,0.0,0.0,0.0,0.0,0.6699999998329116,0.32999999966698196,1.1605109415002814e-12,3.330178030469746e-10,6.405603076933541e-17,6.085175652855096e-19,4.038078358025046e-22
9.967092451745986e-07,0.08314471997335779,0.0,0.0,0.0,0.0,0.6699999996784074,0.32999999935797436,1.1610944559436711e-12,6.420251557982922e-10,2.4110767042391483e-16,4.5314601421889684e-18,5.982698174804288e-21
9.999999999999997e-07,0.08314471996051163,0.0,0.0,0.0,0.0,0.6699999996773457,0.32999999935585084,1.1610984659567899e-12,6.441487081385306e-10,2.429029430243203e-16,4.587601692953624e-18,6.090155745272133e-21
1.4755613151331524e-06,0.08314471996051163,0.0,0.0,0.0,0.0,0.6699999995239032,0.32999999904896676,1.1616779704211556e-12,9.510325075278735e-10,5.023456071453925e-16,1.2700861759965676e-17,2.1619317364437052e-20
1.954413385091706e-06,0.08314471994766547,0.0,0.0,0.0,0.0,0.6699999993693989,0.32999999873995906,1.1622614849481506e-12,1.2600398580423587e-09,8.471888139102003e-16,2.6472059918529494e-17,5.421029749645927e-20
2.9121175250088138e-06,0.08314471992197311,0.0,0.0,0.0,0.0,0.6699999990603901,0.3299999981219434,1.1634285141555375e-12,1.8780545554627756e-09,1.7313885948696174e-15,7.132421471182462e-17,1.870529814291598e-19
3.869821664925921e-06,0.08314471989628075,0.0,0.0,0.0,0.0,0.669999998751381,0.32999999750392756,1.1645955436441705e-12,2.496069246506344e-09,2.9184362833978026e-15,1.4788094694833202e-16,4.634285181520642e-19
5.785229944760136e-06,0.08314471984489588,0.0,0.0,0.0,0.0,0.6699999981333615,0.32999999626789467,1.1669296040284568e-12,3.732098599944914e-09,6.263878345260573e-15,4.590072970862578e-16,2.1067821326398897e-18
7.700638224594351e-06,0.08314471979351096,0.0,0.0,0.0,0.0,0.669999997515341,0.3299999950318605,1.1692636667437002e-12,4.968127908017592e-09,1.0867015781799402e-14,1.0314982456663991e-15,6.041035602927932e-18
9.616046504428567e-06,0.08314471974212592,0.0,0.0,0.0,0.0,0.6699999968973188,0.32999999379582495,1.1715977324737152e-12,6.20415715984167e-09,1.669990321703871e-14,1.941560180363924e-15,1.3726709659505666e-17
9.999999999999997e-06,0.08314471969074079,0.0,0.0,0.0,0.0,0.6699999967734329,0.3299999935480551,1.1720656084652734e-12,6.451925607648718e-09,1.8013357459397104e-14,2.173762242189958e-15,1.5940700730244473e-17
1.1531454784262782e-05,0.08314471969074079,0.0,0.0,0.0,0.0,0.6699999962792953,0.32999999255978807,1.1739318019017063e-12,7.440186344603622e-09,2.373145521272685e-14,3.2653186612729294e-15,2.7008835682755065e-17
1.536227134393121e-05,0.08314471958797023,0.0,0.0,0.0,0.0,0.6699999950432443,0.3299999900877103,1.1785999542678362e-12,9.912244474876032e-09,4.1275887524683326e-14,7.42311426412831e-15,7.908255696770966e-17
1.919308790359964e-05,0.08314471948519932,0.0,0.0,0.0,0.0,0.6699999938071877,0.3299999876156272,1.1832681289590825e-12,1.2384302218322538e-08,6.325762449893183e-14,1.4074944398653823e-14,1.8295470862338512e-16
2.3023904463268068e-05,0.08314471938242807,0.0,0.0,0.0,0.0,0.6699999925711255,0.32999998514353884,1.1879363310523791e-12,1.4856359495403114e-08,8.943459285796324e-14,2.378633547135984e-14,3.655951365067213e-16
3.068553758260493e-05,0.08314471917688465,0.0,0.0,0.0,0.0,0.6699999900989843,0.3299999801993462,1.1972728345246639e-12,1.9800472385737335e-08,1.5355267484143693e-13,5.4289728954887695e-14,1.1168196521005247e-15
3.721997280269245e-05,0.08314471900158038,0.0,0.0,0.0,0.0,0.6699999879905324,0.32999997598253844,1.2052358543868894e-12,2.4017193419047125e-08,2.1964207190485027e-13,9.427803840653998e-14,2.355765465185771e-15
4.3754408022779966e-05,0.0831447188262754,0.0,0.0,0.0,0.0,0.6699999858820638,0.3299999717657154,1.2131990085412591e-12,2.8233912253535048e-08,2.9531881352055854e-13,1.492436585626912e-13,4.3916365610979425e-15
5.028884324286748e-05,0.08314471865096972,0.0,0.0,0.0,0.0,0.6699999837735782,0.3299999675488771,1.2211623130541835e-12,3.2450628645640644e-08,3.798105386077884e-13,2.2097458240430041e-13,7.489074522703555e-15
5.6823278462955e-05,0.08314471847566345,0.0,0.0,0.0,0.0,0.6699999816650754,0.32999996333202347,1.2291257822030347e-12,3.666734238151289e-08,4.724298337887193e-13,3.110591760586559e-13,1.1942539929119585e-14
6.335771368304252e-05,0.08314471830035657,0.0,0.0,0.0,0.0,0.6699999795565547,0.32999995911515445,1.2370894287278504e-12,4.088405327279684e-08,5.725623276356205e-13,4.2091427182554694e-13,1.8072344525616797e-14
6.989214890313005e-05,0.08314471812504914,0.0,0.0,0.0,0.0,0.6699999774480161,0.32999995489827,1.2450532642269272e-12,4.510076115003601e-08,6.796479097256737e-13,5.518293152870641e-13,2.621781410422921e-14
7.642658412321757e-05,0.08314471794974122,0.0,0.0,0.0,0.0,0.6699999753394592,0.32999995068136984,1.25301729875057e-12,4.931746586934535e-08,7.932000514126562e-13,7.049210495918341e-13,3.674393955675289e-14
8.29610193433051e-05,0.08314471777443284,0.0,0.0,0.0,0.0,0.6699999732308834,0.329999946464454,1.2609815413006599e-12,5.353416730411774e-08,9.127820680955293e-13,8.811892586679736e-13,5.0033006216463764e-14
8.949545456339262e-05,0.08314471759912398,0.0,0.0,0.0,0.0,0.6699999711222885,0.3299999422475224,1.2689459998408397e-12,5.775086534480182e-08,1.0380066539491069e-12,1.0815179141441158e-12,6.648434819629168e-14
9.999999999999998e-05,0.08314471724850495,0.0,0.0,0.0,0.0,0.6699999677325389,0.3299999354684866,1.2817498749690853e-12,6.452948455178626e-08,1.250260723677382e-12,1.4559894139805764e-12,1.0059855006663519e-13
0.00010256432500356765,0.08314471724850495,0.0,0.0,0.0,0.0,0.6699999669050397,0.32999993381361087,1.2848755932397676e-12,6.618425086298837e-08,1.3040011714709692e-12,1.557501400792255e-12,1.105283803271727e-13
0.00011432630839972518,0.08314471693294635,0.0,0.0,0.0,0.0,0.6699999631094461,0.32999992622303453,1.2992130308551307e-12,7.377428536798363e-08,1.5595232437351542e-12,2.0753659924714374e-12,1.652342598820436e-13
0.0001260882917958827,0.08314471661738643,0.0,0.0,0.0,0.0,0.6699999593137836,0.329999918632404,1.313551259389469e-12,8.136430770672831e-08,1.828862235587466e-12,2.6812826877290915e-12,2.3693024751489334e-13
0.00013785027519204023,0.08314471630182517,0.0,0.0,0.0,0.0,0.6699999555180499,0.3299999110417182,1.3278903022357576e-12,8.895431761505934e-08,2.1108571915309046e-12,3.3778363506035478e-12,3.283198428968934e-13
0.00014961225858819776,0.08314471598626251,0.0,0.0,0.0,0.0,0.6699999517222418,0.3299999034509757,1.342230178659912e-12,9.654431489455757e-08,2.4045442489300603e-12,4.1671519027626766e-12,4.421723023076925e-13
0.0001613742419843553,0.08314471567069842,0.0,0.0,0.0,0.0,0.6699999479263568,0.32999989586017514,1.3565709041959557e-12,1.0413429940593245e-07,2.709137890345655e-12,5.05093843412499e-12,5.813160063523253e-13
0.0001731362253805128,0.08314471535513286,0.0,0.0,0.0,0.0,0.6699999441303919,0.3299998882693152,1.3709124911453917e-12,1.1172427106069971e-07,3.024007245727755e-12,6.0305449193050185e-12,7.486301315984242e-13
0.00019666019217282787,0.08314471472399693,0.0,0.0,0.0,0.0,0.6699999365382103,0.32999987308741113,1.3995982871373682e-12,1.269041756203047e-07,3.682594552149954e-12,8.2813498757382e-12,1.1794602071720542e-12
0.0002175484956550848,0.08314471416356867,0.0,0.0,0.0,0.0,0.6699999297963726,0.3299998596062988,1.4250730472026176e-12,1.403832557668765e-07,4.297664809094736e-12,1.0609823759859981e-11,1.6853450211278297e-12
0.00023634796878911602,0.08314471365917801,0.0,0.0,0.0,0.0,0.6699999237284652,0.32999984747311856,1.4480027411338578e-12,1.5251439314973452e-07,4.874253969146642e-12,1.2973265600964101e-11,2.254270055180474e-12
0.0002551474419231473,0.08314471315478199,0.0,0.0,0.0,0.0,0.6699999176603052,0.32999983533976235,1.470934731890988e-12,1.6464549779923602e-07,5.471834108826956e-12,1.5591880888169267e-11,2.943596385804552e-12
0.00027394691505717853,0.08314471265038006,0.0,0.0,0.0,0.0,0.6699999115918801,0.3299998232062239,1.4938690282717023e-12,1.7677656995156403e-07,6.089832579533328e-12,1.8466573172247642e-11,3.765677662861283e-12
0.0002927463881912098,0.08314471214597181,0.0,0.0,0.0,0.0,0.6699999055231778,0.3299998110724966,1.516805635711628e-12,1.8890760988121154e-07,6.727843314240695e-12,2.1597874434793578e-11,4.7329058520906504e-12
0.00031154586132524104,0.08314471164155667,0.0,0.0,0.0,0.0,0.6699998994541857,0.3299997989385744,1.5397445573730432e-12,2.0103861788347042e-07,7.38557488124674e-12,2.498606649096089e-11,5.857693722189463e-12
0.0003491448075933035,0.08314471063270379,0.0,0.0,0.0,0.0,0.6699998873152826,0.3299997746701195,1.5856293482996852e-12,2.2530053933426605e-07,8.759432863058445e-12,3.253340633548538e-11,8.629646940648007e-12
0.000379603030608998,0.0831447098154259,0.0,0.0,0.0,0.0,0.6699998774808233,0.3299997550100596,1.6228065764130186e-12,2.449545898743062e-07,9.928825781588884e-12,3.94008798068014e-11,1.1441890345804821e-11
0.000407015431323123,0.08314470907985515,0.0,0.0,0.0,0.0,0.6699998686290325,0.32999973731550303,1.6562712776557285e-12,2.6264316678882196e-07,1.1024168061286514e-11,4.615774676099425e-11,1.4453785789683148e-11
0.0004414661969631741,0.08314470815538998,0.0,0.0,0.0,0.0,0.6699998575033639,0.3299997150770131,1.6983352968105528e-12,2.8487334419048494e-07,1.2458159603529803e-11,5.5422504609987947e-11,1.894626007586099e-11
0.00047591696260322516,0.0831447072308879,0.0,0.0,0.0,0.0,0.6699998463763928,0.32999969283769953,1.740407074200521e-12,3.0710342207833945e-07,1.3955954150930228e-11,6.554693071289488e-11,2.4297473263639817e-11
0.0005103677282432762,0.08314470630634577,0.0,0.0,0.0,0.0,0.6699998352480427,0.3299996705975237,1.7824865997103091e-12,3.293334019756948e-07,1.551747237056055e-11,7.652961949189991e-11,3.058352104404323e-11
0.0005448184938833272,0.08314470538176032,0.0,0.0,0.0,0.0,0.6699998241182382,0.3299996483564471,1.82457386379026e-12,3.515632852804181e-07,1.7142653649261335e-11,8.836925227718381e-11,3.788037391419038e-11
0.0005792692595233783,0.0831447044571284,0.0,0.0,0.0,0.0,0.6699998129869033,0.3299996261144309,1.866668857340851e-12,3.737930732715853e-07,1.88314598712656e-11,1.0106458310331964e-10,4.626388383979297e-11
0.0006481707908034804,0.08314470260771224,0.0,0.0,0.0,0.0,0.6699997907193388,0.3299995816274263,1.950881999017244e-12,4.1825236792677563e-07,2.239985324036875e-11,1.2901773517073352e-10,6.659378132588922e-11
0.0007170723220835826,0.08314470075807182,0.0,0.0,0.0,0.0,0.6699997684447451,0.3299995371362037,2.0351259620447127e-12,4.627112941757938e-07,2.622258421188566e-11,1.603806107145701e-10,9.217803671857198e-11
0.0007859738533636848,0.08314469890818177,0.0,0.0,0.0,0.0,0.6699997461625188,0.3299994926404583,2.119400692580675e-12,5.071698588503747e-07,3.0299655408002297e-11,1.9514598810169206e-10,1.2362007509295104e-10
0.0008548753846437869,0.08314469705801679,0.0,0.0,0.0,0.0,0.6699997238720579,0.32999944813988613,2.2037061453061183e-12,5.516280676345355e-07,3.4631055179312054e-11,2.3330780419198706e-10,1.6152217868017447e-10
0.0009237769159238891,0.08314469520755174,0.0,0.0,0.0,0.0,0.6699997015727611,0.32999940363418456,2.288042281945143e-12,5.960859252536924e-07,3.921676513942663e-11,2.7486095009016115e-10,2.064856761200431e-10
0.0009926784472039912,0.08314469335676143,0.0,0.0,0.0,0.0,0.6699996792640284,0.3299993591230514,2.3724090697919197e-12,6.405434356044698e-07,4.405678323549896e-11,3.198010951585892e-10,2.591110723306707e-10
0.0009999999999999998,0.08314469150562082,0.0,0.0,0.0,0.0,0.6699996768928983,0.32999935439291755,2.381375778204384e-12,6.45267519471138e-07,4.458603647659676e-11,3.2477540328482e-10,2.651781998841398e-10
0.0010615799784840932,0.08314469150562082,0.0,0.0,0.0,0.0,0.6699996569452598,0.3299993146061855,2.45680648111723e-12,6.850006018683695e-07,4.915111816759449e-11,3.681245844715168e-10,3.199981622203207e-10
0.0011304815097641953,0.08314468965410489,0.0,0.0,0.0,0.0,0.6699996346158567,0.32999927008328617,2.541234492454402e-12,7.294574266252486e-07,5.4499773268265275e-11,4.1982835753018e-10,3.897461442019349e-10
