Time (s),Volume (m^3),Ar,He,Ne,N2,H2(1),O2(2),H(3),[O]O(4),OO(7)
3.6910858992181223e-09,0.08314471999996292,0.0,0.0,0.0,0.0,0.6699999999988093,0.32999999999836277,7.446200476009996e-13,1.6372735462984806e-12,1.6235513747204845e-21
4.096111930929684e-09,0.08314471999995574,0.0,0.0,0.0,0.0,0.6699999999986787,0.3299999999981457,7.888725478729331e-13,1.854388317154046e-12,2.0345916705833665e-21
4.5011379626412465e-09,0.08314471999994816,0.0,0.0,0.0,0.0,0.669999999998548,0.32999999999792384,8.284071482185181e-13,2.0762209879356374e-12,2.4973348507010257e-21
4.9061639943528086e-09,0.08314471999994022,0.0,0.0,0.0,0.0,0.6699999999984173,0.3299999999976978,8.637281688609374e-13,2.3022672384200656e-12,3.0128365357992244e-21
5.716216057775933e-09,0.08314471999992347,0.0,0.0,0.0,0.0,0.669999999998156,0.3299999999972348,9.234887435934535e-13,2.7652412059402214e-12,4.205797671156242e-21
6.526268121199057e-09,0.0831447199999057,0.0,0.0,0.0,0.0,0.6699999999978946,0.3299999999967599,9.71205848822176e-13,3.2402586429627724e-12,5.619861481587898e-21
7.336320184622181e-09,0.08314471999988712,0.0,0.0,0.0,0.0,0.6699999999976333,0.32999999999627516,1.0093012092447121e-12,3.7248978247900774e-12,7.260095202704141e-21
8.146372248045305e-09,0.08314471999986794,0.0,0.0,0.0,0.0,0.6699999999973719,0.32999999999578294,1.0397070860913792e-12,4.217226490191793e-12,9.130540972933133e-21
8.95642431146843e-09,0.08314471999984822,0.0,0.0,0.0,0.0,0.6699999999971106,0.3299999999952844,1.06397224869357e-12,4.7156958698365094e-12,1.123443790267004e-20
9.766476374891554e-09,0.0831447199998281,0.0,0.0,0.0,0.0,0.6699999999968492,0.32999999999478097,1.0833373952449507e-12,5.219065265530546e-12,1.3574380155812777e-20
9.999999999999999e-09,0.08314471999980766,0.0,0.0,0.0,0.0,0.669999999996774,0.32999999999463514,1.088155327051087e-12,5.364942419616149e-12,1.4293079811486088e-20
1.0576528438314678e-08,0.08314471999980766,0.0,0.0,0.0,0.0,0.6699999999965879,0.32999999999427376,1.0987887055022114e-12,5.726348497517208e-12,1.6152429189798824e-20
1.1386580501737802e-08,0.08314471999978695,0.0,0.0,0.0,0.0,0.6699999999963265,0.32999999999376334,1.111116758303879e-12,6.236754986957962e-12,1.8970237152180458e-20
1.300668462858405e-08,0.08314471999974496,0.0,0.0,0.0,0.0,0.6699999999958038,0.3299999999927355,1.1287749206336262e-12,7.264565909108542e-12,2.5330084762334454e-20
1.4408406396366963e-08,0.0831447199997082,0.0,0.0,0.0,0.0,0.6699999999953515,0.329999999991841,1.1387760700367102e-12,8.159109565788373e-12,3.161652733375737e-20
1.5810128164149875e-08,0.08314471999967116,0.0,0.0,0.0,0.0,0.6699999999948992,0.32999999999094315,1.1455548130293938e-12,9.056875628874095e-12,3.86336861677555e-20
1.7211849931932787e-08,0.08314471999963392,0.0,0.0,0.0,0.0,0.6699999999944469,0.3299999999900433,1.1501657145311843e-12,9.956809533446197e-12,4.6383762508818566e-20
