Time (s),Volume (m^3),Ar,He,Ne,N2,H2(1),O2(2),H(3),[O]O(4),OO(7),OH(D)(5)
9.999999999999999e-09,0.08314471999980318,0.0,0.0,0.0,0.0,0.6699999999967734,0.32999999999463514,1.0881612430330263e-12,5.3649365036342095e-12,1.4292328427108333e-20,1.5277305575991834e-24
1.0751111229256366e-08,0.08314471999980318,0.0,0.0,0.0,0.0,0.669999999996531,0.32999999999416396,1.1016921552010911e-12,5.836105035277356e-12,1.6738457861270647e-20,1.9238279327790758e-24
1.1575512563167848e-08,0.08314471999978207,0.0,0.0,0.0,0.0,0.669999999996265,0.3299999999936439,1.1136195120480724e-12,6.356171945669073e-12,1.9660871662909566e-20,2.4337724735408746e-24
1.3224315230990812e-08,0.08314471999973923,0.0,0.0,0.0,0.0,0.669999999995733,0.3299999999925969,1.130602890931985e-12,7.403177101257884e-12,2.6256471461103603e-20,3.717141200958444e-24
1.4655180713268274e-08,0.08314471999970165,0.0,0.0,0.0,0.0,0.6699999999952714,0.32999999999168317,1.1401720512323413e-12,8.31695947187046e-12,3.2796265843071404e-20,5.1516317212013256e-24
1.6086046195545736e-08,0.08314471999966383,0.0,0.0,0.0,0.0,0.6699999999948097,0.32999999999076624,1.1466061424457192e-12,9.233876911565313e-12,4.0097773992378393e-20,6.923057158881587e-24
1.75169116778232e-08,0.08314471999962578,0.0,0.0,0.0,0.0,0.6699999999943481,0.32999999998984725,1.1509492213975596e-12,1.0152885363517005e-11,4.8163156592873545e-20,9.068554614863991e-24
1.8947777160100662e-08,0.08314471999958765,0.0,0.0,0.0,0.0,0.6699999999938865,0.3299999999889268,1.1538785649811968e-12,1.1073307550832207e-11,5.699380872854457e-20,1.1625354574763809e-23
2.0378642642378126e-08,0.08314471999954942,0.0,0.0,0.0,0.0,0.6699999999934249,0.3299999999880054,1.1558487067676497e-12,1.1994688939939897e-11,6.659066055609446e-20,1.4630743363301717e-23
2.2405349339461142e-08,0.08314471999949519,0.0,0.0,0.0,0.0,0.6699999999927709,0.32999999998669927,1.1576177105122278e-12,1.330077364752738e-11,8.149631666324505e-20,1.9728053471032886e-23
2.443205603654416e-08,0.08314471999944091,0.0,0.0,0.0,0.0,0.669999999992117,0.3299999999853925,1.158645515262519e-12,1.460759955409973e-11,9.794154129004703e-20,2.5906356553961056e-23
2.6458762733627176e-08,0.08314471999938657,0.0,0.0,0.0,0.0,0.6699999999914631,0.3299999999840852,1.1592378452402254e-12,1.591486093543525e-11,1.1592692386347962e-19,3.327185054368206e-23
2.8485469430710193e-08,0.08314471999933223,0.0,0.0,0.0,0.0,0.6699999999908092,0.3299999999827776,1.159562736525747e-12,1.7222389755453516e-11,1.3545276724566559e-19,4.193076537594752e-23
3.051217612779321e-08,0.08314471999927787,0.0,0.0,0.0,0.0,0.6699999999901552,0.32999999998147006,1.1597338116279811e-12,1.8530072391645627e-11,1.5651926141720062e-19,5.1989341603003306e-23
3.2538882824876226e-08,0.08314471999922353,0.0,0.0,0.0,0.0,0.6699999999895013,0.3299999999801622,1.1598218118452943e-12,1.9837838102713203e-11,1.7912650750602318e-19,6.355382757191331e-23
3.659229621904226e-08,0.08314471999911478,0.0,0.0,0.0,0.0,0.6699999999881935,0.32999999997754664,1.159910347588751e-12,2.24534569895111e-11,2.289634082888429e-19,9.162553688479194e-23
4.064570961320829e-08,0.08314471999900606,0.0,0.0,0.0,0.0,0.6699999999868856,0.3299999999749309,1.1599250002790677e-12,2.5069149759324153e-11,2.8496330527044006e-19,1.2699592904485568e-22
4.4699123007374327e-08,0.08314471999889733,0.0,0.0,0.0,0.0,0.6699999999855778,0.3299999999723152,1.1599336487369459e-12,2.76848485333315e-11,3.471258978475547e-19,1.7069350405901916e-22
5.280594979570639e-08,0.08314471999867983,0.0,0.0,0.0,0.0,0.6699999999829621,0.32999999996708385,1.1599440241378626e-12,3.2916253002669496e-11,5.022602873185994e-19,3.0924029446391466e-22
6.901960337237051e-08,0.08314471999824487,0.0,0.0,0.0,0.0,0.6699999999777307,0.329999999956621,1.15996396186789e-12,4.337906275379783e-11,9.110908860791635e-19,8.118829330341011e-22
9.999999999999998e-08,0.08314471999737494,0.0,0.0,0.0,0.0,0.6699999999677347,0.3299999999366291,1.1600017480010834e-12,6.337097878833799e-11,2.068738435051019e-18,3.049644796158113e-21
1.0144691052569876e-07,0.08314471999737494,0.0,0.0,0.0,0.0,0.6699999999672679,0.3299999999356954,1.160003512767187e-12,6.430468257809077e-11,2.1228052839616277e-18,3.15415737657078e-21
1.6630152483235524e-07,0.0831447199956351,0.0,0.0,0.0,0.0,0.6699999999463422,0.32999999989384415,1.1600825463848902e-12,1.0615592228438657e-10,6.1208959157414354e-18,1.6661583783795007e-20
2.9601075344566823e-07,0.08314471999215539,0.0,0.0,0.0,0.0,0.6699999999044909,0.32999999981014166,1.1602406062656787e-12,1.8985840165946396e-10,2.0403344101255696e-17,1.0671267195871956e-19
