Time (s),Volume (m^3),Ar,He,Ne,N2,H2(1),O2(2),H(3),[O]O(4),OO(7),OH(D)(5),H2O(10),O2(S)(11)
2.398692185429795e-08,0.08314471999945289,0.0,0.0,0.0,0.0,0.6699999999922613,0.3299999999856793,1.1584008498035968e-12,1.4320594765494322e-11,9.419750002504528e-20,2.4451020564521853e-23,3.625927665362204e-28,2.6534904908120993e-28
2.5470389096340512e-08,0.08314471999941314,0.0,0.0,0.0,0.0,0.6699999999917827,0.32999999998472274,1.1589079704880117e-12,1.527738360722732e-11,1.0696330799200415e-19,2.9524458754231997e-23,4.653205001243026e-28,3.405262415855459e-28
2.6953856338383076e-08,0.08314471999937337,0.0,0.0,0.0,0.0,0.6699999999913041,0.32999999998376567,1.1592476659050813e-12,1.623433987422261e-11,1.2055440241942005e-19,3.526308512161444e-23,5.886538760176291e-28,4.307828511134153e-28
2.9920790822468204e-08,0.0831447199992938,0.0,0.0,0.0,0.0,0.6699999999903468,0.32999999998185153,1.159617087080085e-12,1.814856237785716e-11,1.5021277813901753e-19,4.890254286020256e-23,9.077624194561879e-28,6.643097044988143e-28
3.288772530655333e-08,0.08314471999921423,0.0,0.0,0.0,0.0,0.6699999999893894,0.32999999997993706,1.1597645766666174e-12,2.0063006813059925e-11,1.8317301343388173e-19,6.570269709642452e-23,1.3427571799601911e-27,9.826432612436459e-28
3.585465979063846e-08,0.08314471999913463,0.0,0.0,0.0,0.0,0.6699999999884321,0.32999999997802243,1.1598297240000541e-12,2.1977533590495494e-11,2.194352548305184e-19,8.599686315270817e-23,1.919019581724771e-27,1.4043579037438793e-27
3.882159427472359e-08,0.08314471999905504,0.0,0.0,0.0,0.0,0.6699999999874747,0.329999999976108,1.159878361460923e-12,2.3892076877783284e-11,2.5899949567167596e-19,1.1011835781340999e-22,2.6644736380997013e-27,1.9498887068029433e-27
4.1788528758808715e-08,0.08314471999897544,0.0,0.0,0.0,0.0,0.6699999999865174,0.32999999997419344,1.1599146854216394e-12,2.5806632478550832e-11,3.018656015876911e-19,1.3840049661854744e-22,3.609585867249785e-27,2.6415313758882736e-27
4.712901083016194e-08,0.08314471999883215,0.0,0.0,0.0,0.0,0.6699999999847942,0.32999999997074714,1.1599402736351808e-12,2.925287235479664e-11,3.8734481806987836e-19,2.0085703081127556e-22,5.92440876783762e-27,4.335542139354554e-27
5.780997497286839e-08,0.08314471999854563,0.0,0.0,0.0,0.0,0.669999999981348,0.3299999999638546,1.1599613197740813e-12,3.6145382237376217e-11,5.903914025627512e-19,3.8058439535648803e-22,1.4172167072960732e-26,1.0371334911508327e-26
7.917190325828129e-08,0.08314471999797256,0.0,0.0,0.0,0.0,0.6699999999744555,0.3299999999500696,1.1599779543567561e-12,4.993042745888245e-11,1.2103351446929765e-18,1.2602723817826816e-21,8.3389224745975e-26,6.102507623342958e-26
9.999999999999998e-08,0.0831447199968264,0.0,0.0,0.0,0.0,0.6699999999677352,0.3299999999366291,1.1600026237995436e-12,6.337097791200917e-11,2.1481502524575604e-18,3.4810738723428586e-21,3.948196098239204e-25,2.8893297416550955e-25
1.218957598291071e-07,0.0831447199968264,0.0,0.0,0.0,0.0,0.6699999999606704,0.32999999992249957,1.1600285578155553e-12,7.750050056316885e-11,3.1340384312171478e-18,5.815715230524693e-21,7.2221413846054655e-25,5.285235934217604e-25
2.0734347297075873e-07,0.0831447199945341,0.0,0.0,0.0,0.0,0.6699999999331002,0.3299999998673594,1.1601325640049631e-12,1.3264064395389032e-10,9.713163387114083e-18,3.404909208733507e-20,8.202431992352915e-24,6.0026224546141354e-24
3.78238899254062e-07,0.0831447199899495,0.0,0.0,0.0,0.0,0.66999999987796,0.3299999997570791,1.160340807065104e-12,2.429209304235687e-10,3.3770011485252635e-17,2.303193609085586e-19,1.0939978624855733e-22,8.005986590030628e-23
7.200297518206685e-07,0.08314471998078028,0.0,0.0,0.0,0.0,0.6699999997676794,0.32999999953651843,1.1607573027982848e-12,4.6348150297530254e-10,1.2525320559539112e-16,1.6855244406032129e-18,1.590565915756892e-21,1.1639921351576105e-21
9.999999999999997e-07,0.08314471996244183,0.0,0.0,0.0,0.0,0.6699999996773455,0.32999999935585106,1.161098465972142e-12,6.44148707791779e-10,2.7051148363513876e-16,6.248191575897381e-18,1.0822780016793184e-20,7.920218915875599e-21
1.4036114569538815e-06,0.08314471996244183,0.0,0.0,0.0,0.0,0.6699999995471181,0.3299999990953969,1.1615902945380522e-12,9.046026461440285e-10,4.799191103936837e-16,1.2825835957925061e-17,2.413214916748467e-20,1.766014861272592e-20
