time[s],[H]_molefrac,[H]OOOOOOOOO[O]_molefrac,[H]OOOOOOOO[H]_molefrac,[H]OOOOOOO[O]_molefrac,[H]OOOOOO[H]_molefrac,[H]OOOOO[O]_molefrac,[H]OOOO[H]_molefrac,[H]OOO[O]_molefrac,[H]OO[H]_molefrac,[H]O[O]_molefrac,[H][H]_molefrac,[O]OOOOOOOOOO[O]_molefrac,[O]OOOOOOOO[O]_molefrac,[O]OOOOOO[O]_molefrac,[O]OOOO[O]_molefrac,[O]OO[O]_molefrac,[O][O]_molefrac
65917.99921407414,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
72509.79913548155,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
79101.59905688895,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
85693.39897829636,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
92285.19889970377,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
98876.99882111118,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
105468.79874251859,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
112060.598663926,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
118652.3985853334,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
125244.19850674081,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
131835.99842814822,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
138427.79834955564,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
145019.59827096306,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
151611.39819237049,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
158203.1981137779,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
164794.99803518533,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
171386.79795659275,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
177978.59787800018,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
184570.3977994076,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
191162.19772081502,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
197753.99764222244,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
204345.79756362987,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
210937.5974850373,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
